기업코드,기업이름,기업형태,업종,매출액,홈페이지,기업주소,사원수,설립일,대표자명
TGw4LzFMZWc0SDlmQTIzUEVGaDlvZz09,(주)스타링크,중소기업,데이터베이스 및 온라인정보 제공업,,stargram.shop,"서울 강남구 선릉로152길 17, 702호",,2020년 3월 30일 (업력 2년),이지수/정연우
cXo2QUdoZ3o1U1RkWnFZd2prQXVCQT09,(주)길온,"중소기업, 외부감사법인, 연구소, 주식회사, 병역특례 인증업체, 수출입 기업",메모리용 전자집적회로 제조업,7억원 (2019년 기준),www.gilon.co.kr,"경기 성남시 중원구 양현로405번길 12, 3층",9 명 (2019년 기준),2019년 1월 22일 (업력 3년),김남선
cyt6Q2NnMVFqb0V3N3U0VTJpNi90dz09,(주)엠닥터,"중소기업, 연구소, 주식회사, 수출입 기업",그 외 자동차용 신품 부품 제조업,"1억 9,204만원 (2021년 기준)",,"경북 구미시 대학로 61, 벤처창업관 302호",4 명 (2022년 기준),2018년 11월 1일 (업력 4년),최경호
c1EvalVCaVUzWkZ1bEJ6SlV4dWF1QT09,(주)운좋은사람들,"중소기업, 주식회사",기타 정보기술 및 컴퓨터운영 관련 서비스업,463만원 (2020년 기준),,"서울 서초구 효령로 418, 3층",,2018년 4월 13일 (업력 4년),박성우
Vy9DMGRMOVNFaWdqYWprSDFCTEYyZz09,(주)프레시코드,중소기업,응용 소프트웨어 개발 및 공급업,"52억 7,519만원 (2020년 기준)",,"서울 성동구 왕십리로 115, 7층 지708,지709,지710",,2016년 5월 1일 (업력 6년),정유석
TzhHdUY3bVFMODRTRTRyWVBSWmR2dz09,(주)나스미디어,"코스닥, 대기업, 외부감사법인",광고 대행업,"842억 8,318만원 (2017년 기준)",www.nasmedia.co.kr,"서울 강남구 도곡로1길 14, 3층,4층,5층",300 명 (2017년 기준),2000년 3월 13일 (업력 22년),정기호
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
S1pxVkFRUFdsUVA0Rkx5R2ZFYkdxZz09,(주)하나투어,"코스피, 중견기업, 외부감사법인",여행사업,,http://www.hanatourcompany.com,서울 종로구 인사동5길 41,1180 명 (2021년 기준),1993년 10월 25일 (업력 29년),송미선/육경건
Ylh5MmsvWEhGcGRFYTFydW41dlRLZz09,(주)인키움,"중소기업, 주식회사",그 외 기타 분류 안된 사업지원 서비스업,"69억 9,182만원 (2020년 기준)",http://www.inkium.com,"서울 구로구 디지털로30길 31, 701호, 702호, 703호, 704호",66 명 (2020년 기준),1999년 12월 3일 (업력 23년),박지현/김석정
