채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
42935277,[선불] 백엔드 개발자/디자이너/운영 채용 (신입/경력),백엔드,,무관(신입포함),학력무관,정규직,,,면접 후 결정,,주 5일(월~금) 08:30~18:00,(152-848) 서울 구로구 구로동 코오롱디지털타워빌란트 1307호 서울 2호선 구로디지털단지역에서 500m 이내,18,OTRFVk8wYk1McERWTytjcHlHZzBRdz09
42909456,[마포구/정규직] 한솔PNS IT부문 인사시스템(HR) 경력직 채용,기타,,경력 3년 ↑,대졸(4년제) 이상,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,사원,09:00~18:00,(03925) 서울 마포구 월드컵북로 396 누리꿈스퀘어 경의중앙선 수색역에서 500m 이내,9,alMwQzZ3WHNOQmFCMllhQWlZMlFsZz09
43003120,[죽전]DB손해보험 데이터센터 서버 OP운영업무,기타,db,신입,"대졸(2,3년제) 이상(예정자 가능)",정규직,,,면접 후 결정,,주 5일(월~금),(448-547) 경기 용인시 수지구 죽전동 23-6,2,Nlk1dFN2enFWL2F3T1hYMzFPanQrdz09
42995850,[소셜메타버스] 웹 개발자 모집공고,웹,,경력 3년 ↑,학력무관,정규직,,,"연봉 5,000 만원 (주 40시간)",,주 5일(월~금),(04168) 서울 마포구 새창로 11 공항철도 공덕역에서 200m 이내,58,K3dIbm1RNDB6Nm5ZZG9zM2N5Q2M5Zz09
42791146,[경력] 자율주행 Vehicle Control,기타,,경력 2~5년,대졸(4년제) 이상,정규직,,,회사내규에 따름,,,"서울전체, 서울 강남구",20,bVNkc0IvajVkQVFoazk4M0k3M1hFZz09
42816367,개발실 Java 기반 백엔드 엔지니어 모집,백엔드,java,경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,"전공:전기/전자공학, 컴퓨터/시스템공학, 공학계열,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금),"(06211) 서울 강남구 테헤란로44길 5, 10층(역삼동) 서울 2호선 선릉역에서 500m 이내",채용시 마감,bEtIK3RvdXNNNEFESHU5bHBsUWxGdz09
42611989,[경력] 자율주행 Planning,기타,,경력 2~5년,대졸(4년제) 이상(예정자 가능),정규직,,,회사내규에 따름,,,"서울전체, 서울 강남구",20,bVNkc0IvajVkQVFoazk4M0k3M1hFZz09
42953597,[한국화웨이] 네트워크 & 기술엔지니어 각 채용 (신입/경력),기타,,신입·경력(년수무관),대졸(4년제) 이상,"계약직, 파견직",,"외국어 능력:영어가능자, 중국어 가능자,활동/경험:해당직무 인턴경력, 해당직무 근무경험",면접 후 결정,,주 5일(월~금) 09:00~18:00,(04515) 서울 중구 서소문로 지하 127 시청역 2호선(서소문동) 서울 2호선 시청역에서 100m 이내,채용시 마감,eGk1Y2lpcWZ1d0JYTndINTh1Vk8rdz09
42722159,[수원] 전산센터 시스템 모니터링(관제) 담당자 모집,기타,,신입,고교졸업 이상,정규직,,,면접 후 결정,,,(16676) 경기 수원시 영통구 매탄동 410-1,24,SG9NaEFqWSs2SzRRd01lM1YwYk9sUT09
43002746,"C#, ASP.Net 개발 경력자(3~9년)  천안지역 모집합니다","백엔드,기타","asp,c#",경력 3~9년,대졸(4년제) 이상,정규직,자격증:정보처리기사,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(31075) 충남 천안시 서북구 2공단1로 168(차암동),59,OTJGbU50QzNvT3Nxc2wzSVBWeUdsZz09
42894998,"[금천구]JAVA, 웹스퀘어 유경험자 SI 1년 고급이상 1명 구",백엔드,java,경력 12~20년,"대졸(2,3년제) 이상",프리랜서,,,면접 후 결정,,,(08510) 서울 금천구 벚꽃로 309 가산디지털단지역(가산동) 서울 1호선 가산디지털단지역에서 100m 이내,14,MGRNRzl4R1dPRTMxQ090aENjUnZOQT09
